time,price,volume
2020-07-07 09:30:00,697.51,99141
2020-07-07 09:31:00,698.54,269259
2020-07-07 09:32:00,698.69,170514
2020-07-07 09:33:00,699.11,133357
2020-07-07 09:34:00,698.06,131540
2020-07-07 09:35:00,695.79,124936
2020-07-07 09:36:00,695.05,128064
2020-07-07 09:37:00,696.23,142489
2020-07-07 09:38:00,697.2,121108
2020-07-07 09:39:00,698.43,100535
2020-07-07 09:40:00,699.71,105617
2020-07-07 09:41:00,699.63,98020
2020-07-07 09:42:00,698.46,123529
2020-07-07 09:43:00,696.48,109056
2020-07-07 09:44:00,694.32,117891
2020-07-07 09:45:00,692.09,139247
2020-07-07 09:46:00,690.28,109985
2020-07-07 09:47:00,691.33,98061
2020-07-07 09:48:00,692.73,82766
2020-07-07 09:49:00,694.52,87404
2020-07-07 09:50:00,694.77,77605
2020-07-07 09:51:00,695.76,70746
2020-07-07 09:52:00,695.76,80602
2020-07-07 09:53:00,696.12,95868
2020-07-07 09:54:00,696.36,82687
2020-07-07 09:55:00,696.49,66486
2020-07-07 09:56:00,697.0,82589
2020-07-07 09:57:00,697.97,103942
2020-07-07 09:58:00,697.71,88242
2020-07-07 09:59:00,698.81,66210
2020-07-07 10:00:00,699.44,64584
2020-07-07 10:01:00,699.33,74012
2020-07-07 10:02:00,700.02,67074
2020-07-07 10:03:00,700.92,75282
2020-07-07 10:04:00,701.58,73355
2020-07-07 10:05:00,701.79,66927
2020-07-07 10:06:00,701.94,64438
2020-07-07 10:07:00,702.31,60982
2020-07-07 10:08:00,702.64,52398
2020-07-07 10:09:00,702.39,57469
2020-07-07 10:10:00,702.6,49614
2020-07-07 10:11:00,703.16,65755
2020-07-07 10:12:00,703.39,63249
2020-07-07 10:13:00,703.59,71803
2020-07-07 10:14:00,703.09,61449
2020-07-07 10:15:00,702.76,56734
2020-07-07 10:16:00,702.91,58994
2020-07-07 10:17:00,703.05,65302
2020-07-07 10:18:00,703.01,65450
2020-07-07 10:19:00,703.01,61027
2020-07-07 10:20:00,703.28,58515
2020-07-07 10:21:00,703.92,50593
2020-07-07 10:22:00,703.69,71491
2020-07-07 10:23:00,704.41,65959
2020-07-07 10:24:00,704.82,69877
2020-07-07 10:25:00,704.02,55258
2020-07-07 10:26:00,704.44,56736
2020-07-07 10:27:00,704.27,41263
2020-07-07 10:28:00,704.26,37688
2020-07-07 10:29:00,703.64,46179
2020-07-07 10:30:00,703.1,58328
2020-07-07 10:31:00,702.26,47544
2020-07-07 10:32:00,702.01,43514
2020-07-07 10:33:00,701.93,38323
2020-07-07 10:34:00,701.15,40490
2020-07-07 10:35:00,700.85,40345
2020-07-07 10:36:00,700.86,37205
2020-07-07 10:37:00,701.43,40651
2020-07-07 10:38:00,702.2,52585
2020-07-07 10:39:00,702.81,39663
2020-07-07 10:40:00,702.48,37138
2020-07-07 10:41:00,703.22,26289
2020-07-07 10:42:00,703.21,30992
2020-07-07 10:43:00,702.98,27134
2020-07-07 10:44:00,702.65,22033
2020-07-07 10:45:00,702.94,21141
2020-07-07 10:46:00,703.22,27358
2020-07-07 10:47:00,703.07,30294
2020-07-07 10:48:00,703.36,32527
2020-07-07 10:49:00,703.03,34121
2020-07-07 10:50:00,703.32,28695
2020-07-07 10:51:00,703.09,34876
2020-07-07 10:52:00,702.84,33383
2020-07-07 10:53:00,702.92,35360
2020-07-07 10:54:00,703.16,30270
2020-07-07 10:55:00,703.16,33231
2020-07-07 10:56:00,703.46,30403
2020-07-07 10:57:00,703.84,37977
2020-07-07 10:58:00,704.05,35008
2020-07-07 10:59:00,704.12,31591
2020-07-07 11:00:00,704.57,58134
2020-07-07 11:01:00,705.04,56649
2020-07-07 11:02:00,705.07,32308
2020-07-07 11:03:00,705.31,40550
2020-07-07 11:04:00,705.27,28581
2020-07-07 11:05:00,704.96,24975
2020-07-07 11:06:00,704.99,23622
2020-07-07 11:07:00,704.93,25844
2020-07-07 11:08:00,705.05,27146
2020-07-07 11:09:00,705.29,27748
2020-07-07 11:10:00,705.56,34423
2020-07-07 11:11:00,705.59,34862
2020-07-07 11:12:00,705.71,28509
2020-07-07 11:13:00,705.84,30567
2020-07-07 11:14:00,706.07,21548
2020-07-07 11:15:00,706.27,20717
2020-07-07 11:16:00,706.74,29958
2020-07-07 11:17:00,706.89,32699
2020-07-07 11:18:00,706.82,24216
2020-07-07 11:19:00,706.63,20813
2020-07-07 11:20:00,706.4,20477
2020-07-07 11:21:00,706.04,20971
2020-07-07 11:22:00,705.95,17257
2020-07-07 11:23:00,705.92,19747
2020-07-07 11:24:00,705.74,17228
2020-07-07 11:25:00,705.87,19759
2020-07-07 11:26:00,706.21,20136
2020-07-07 11:27:00,706.34,22172
2020-07-07 11:28:00,706.55,21342
2020-07-07 11:29:00,706.89,20040
2020-07-07 11:30:00,707.15,21071
2020-07-07 13:01:00,708.57,99816
2020-07-07 13:02:00,708.67,39817
2020-07-07 13:03:00,709.0,39515
2020-07-07 13:04:00,709.16,40015
2020-07-07 13:05:00,709.28,27556
2020-07-07 13:06:00,709.37,35402
2020-07-07 13:07:00,709.33,40088
2020-07-07 13:08:00,709.99,46511
2020-07-07 13:09:00,710.33,44374
2020-07-07 13:10:00,710.62,47558
2020-07-07 13:11:00,710.86,58039
2020-07-07 13:12:00,711.23,51086
2020-07-07 13:13:00,711.47,43706
2020-07-07 13:14:00,712.0,42007
2020-07-07 13:15:00,712.24,52535
2020-07-07 13:16:00,711.87,50186
2020-07-07 13:17:00,711.58,46592
2020-07-07 13:18:00,711.31,31944
2020-07-07 13:19:00,710.23,63255
2020-07-07 13:20:00,710.38,36573
2020-07-07 13:21:00,710.67,29418
2020-07-07 13:22:00,710.63,27494
2020-07-07 13:23:00,710.59,28249
2020-07-07 13:24:00,710.71,32611
2020-07-07 13:25:00,710.94,30771
2020-07-07 13:26:00,710.79,35452
2020-07-07 13:27:00,710.55,36107
2020-07-07 13:28:00,710.43,33423
2020-07-07 13:29:00,710.07,33926
2020-07-07 13:30:00,709.9,24572
2020-07-07 13:31:00,709.8,42043
2020-07-07 13:32:00,709.62,41980
2020-07-07 13:33:00,708.56,52856
2020-07-07 13:34:00,709.09,39852
2020-07-07 13:35:00,709.41,47028
2020-07-07 13:36:00,710.11,45069
2020-07-07 13:37:00,710.78,33295
2020-07-07 13:38:00,711.22,36708
2020-07-07 13:39:00,711.32,31874
2020-07-07 13:40:00,711.21,27433
2020-07-07 13:41:00,711.41,36919
2020-07-07 13:42:00,711.89,33530
2020-07-07 13:43:00,711.97,35511
2020-07-07 13:44:00,711.8,28711
2020-07-07 13:45:00,711.56,23471
2020-07-07 13:46:00,711.46,19403
2020-07-07 13:47:00,711.24,28074
2020-07-07 13:48:00,711.76,33395
2020-07-07 13:49:00,712.0,24310
2020-07-07 13:50:00,712.39,41666
2020-07-07 13:51:00,712.81,35322
2020-07-07 13:52:00,713.24,41299
2020-07-07 13:53:00,713.58,35808
2020-07-07 13:54:00,713.8,36644
2020-07-07 13:55:00,714.51,42873
2020-07-07 13:56:00,714.31,40720
2020-07-07 13:57:00,713.65,43519
2020-07-07 13:58:00,713.32,34878
2020-07-07 13:59:00,713.42,29311
2020-07-07 14:00:00,713.27,29127
2020-07-07 14:01:00,713.28,23272
2020-07-07 14:02:00,713.35,30789
2020-07-07 14:03:00,713.27,27502
2020-07-07 14:04:00,713.25,29272
2020-07-07 14:05:00,712.67,55669
2020-07-07 14:06:00,712.25,36865
2020-07-07 14:07:00,711.24,42689
2020-07-07 14:08:00,710.44,39423
2020-07-07 14:09:00,709.81,53298
2020-07-07 14:10:00,709.05,41145
2020-07-07 14:11:00,707.39,82099
2020-07-07 14:12:00,707.78,73470
2020-07-07 14:13:00,707.69,43437
2020-07-07 14:14:00,707.35,43389
2020-07-07 14:15:00,707.49,29191
2020-07-07 14:16:00,707.69,32315
2020-07-07 14:17:00,708.33,35999
2020-07-07 14:18:00,708.63,27773
2020-07-07 14:19:00,708.95,29379
2020-07-07 14:20:00,708.6,25708
2020-07-07 14:21:00,709.19,41861
2020-07-07 14:22:00,709.69,29729
2020-07-07 14:23:00,709.73,28964
2020-07-07 14:24:00,709.61,23880
2020-07-07 14:25:00,709.45,20653
2020-07-07 14:26:00,709.16,38819
2020-07-07 14:27:00,708.9,25796
2020-07-07 14:28:00,708.58,32136
2020-07-07 14:29:00,708.28,31211
2020-07-07 14:30:00,708.02,35211
2020-07-07 14:31:00,709.11,61880
2020-07-07 14:32:00,709.05,41504
2020-07-07 14:33:00,709.41,38016
2020-07-07 14:34:00,709.93,50397
2020-07-07 14:35:00,709.99,38874
2020-07-07 14:36:00,710.28,88173
2020-07-07 14:37:00,710.38,56136
2020-07-07 14:38:00,710.32,36904
2020-07-07 14:39:00,710.46,43443
2020-07-07 14:40:00,710.13,37519
2020-07-07 14:41:00,710.13,45485
2020-07-07 14:42:00,710.15,40409
2020-07-07 14:43:00,710.2,40211
2020-07-07 14:44:00,709.82,46136
2020-07-07 14:45:00,709.33,44276
2020-07-07 14:46:00,708.94,52896
2020-07-07 14:47:00,708.43,55271
2020-07-07 14:48:00,708.3,44904
2020-07-07 14:49:00,707.5,46934
2020-07-07 14:50:00,707.03,58551
2020-07-07 14:51:00,706.32,66794
