time,price,volume
2020-07-07 09:30:00,645.08,204630
2020-07-07 09:31:00,647.72,537840
2020-07-07 09:32:00,648.23,304226
2020-07-07 09:33:00,648.95,314453
2020-07-07 09:34:00,648.14,269465
2020-07-07 09:35:00,646.7,274460
2020-07-07 09:36:00,645.72,263198
2020-07-07 09:37:00,646.07,215712
2020-07-07 09:38:00,646.08,184541
2020-07-07 09:39:00,646.42,197486
2020-07-07 09:40:00,646.26,163362
2020-07-07 09:41:00,645.52,173056
2020-07-07 09:42:00,644.29,207559
2020-07-07 09:43:00,642.54,218843
2020-07-07 09:44:00,640.12,215040
2020-07-07 09:45:00,637.57,257455
2020-07-07 09:46:00,636.32,235091
2020-07-07 09:47:00,637.26,196956
2020-07-07 09:48:00,638.95,175653
2020-07-07 09:49:00,639.96,146966
2020-07-07 09:50:00,640.83,127642
2020-07-07 09:51:00,641.04,139660
2020-07-07 09:52:00,641.03,129524
2020-07-07 09:53:00,641.35,109357
2020-07-07 09:54:00,641.39,99842
2020-07-07 09:55:00,641.45,95491
2020-07-07 09:56:00,641.69,84657
2020-07-07 09:57:00,642.19,104888
2020-07-07 09:58:00,643.05,116487
2020-07-07 09:59:00,643.58,118110
2020-07-07 10:00:00,644.3,114454
2020-07-07 10:01:00,644.9,220349
2020-07-07 10:02:00,645.61,138901
2020-07-07 10:03:00,646.54,155665
2020-07-07 10:04:00,647.38,136822
2020-07-07 10:05:00,647.81,129719
2020-07-07 10:06:00,648.28,129178
2020-07-07 10:07:00,648.52,120093
2020-07-07 10:08:00,648.8,116628
2020-07-07 10:09:00,649.28,108643
2020-07-07 10:10:00,649.33,105824
2020-07-07 10:11:00,649.74,135551
2020-07-07 10:12:00,649.85,114279
2020-07-07 10:13:00,649.8,108289
2020-07-07 10:14:00,649.08,99213
2020-07-07 10:15:00,649.34,84077
2020-07-07 10:16:00,649.55,96354
2020-07-07 10:17:00,649.86,85184
2020-07-07 10:18:00,649.86,84706
2020-07-07 10:19:00,649.55,84373
2020-07-07 10:20:00,649.38,78704
2020-07-07 10:21:00,650.01,93855
2020-07-07 10:22:00,650.41,108624
2020-07-07 10:23:00,650.78,100151
2020-07-07 10:24:00,650.18,118134
2020-07-07 10:25:00,649.88,96856
2020-07-07 10:26:00,649.85,88757
2020-07-07 10:27:00,649.78,70191
2020-07-07 10:28:00,649.7,72474
