time,price,volume
2020-07-07 09:30:00,689.8,780262
2020-07-07 09:31:00,692.61,2064648
2020-07-07 09:32:00,693.36,1193375
2020-07-07 09:33:00,693.1,1042442
2020-07-07 09:34:00,692.31,962928
2020-07-07 09:35:00,690.86,890428
2020-07-07 09:36:00,689.52,869482
2020-07-07 09:37:00,689.48,780186
2020-07-07 09:38:00,689.32,619529
2020-07-07 09:39:00,688.85,631034
2020-07-07 09:40:00,688.42,731535
2020-07-07 09:41:00,687.45,689696
2020-07-07 09:42:00,685.58,754490
2020-07-07 09:43:00,683.27,782176
2020-07-07 09:44:00,680.87,789575
2020-07-07 09:45:00,678.33,875453
2020-07-07 09:46:00,677.4,743332
2020-07-07 09:47:00,678.93,594270
2020-07-07 09:48:00,680.79,457182
2020-07-07 09:49:00,681.78,517743
2020-07-07 09:50:00,682.14,466303
2020-07-07 09:51:00,682.09,421872
2020-07-07 09:52:00,681.6,371189
2020-07-07 09:53:00,681.15,357379
2020-07-07 09:54:00,681.12,355949
2020-07-07 09:55:00,681.02,290358
2020-07-07 09:56:00,681.0,289154
2020-07-07 09:57:00,681.26,314240
2020-07-07 09:58:00,681.81,289000
2020-07-07 09:59:00,681.99,260428
2020-07-07 10:00:00,682.5,241930
2020-07-07 10:01:00,682.51,268833
2020-07-07 10:02:00,682.59,247152
2020-07-07 10:03:00,683.24,242525
2020-07-07 10:04:00,683.85,234724
2020-07-07 10:05:00,684.35,250344
2020-07-07 10:06:00,685.25,254341
2020-07-07 10:07:00,685.56,281942
2020-07-07 10:08:00,685.72,232267
2020-07-07 10:09:00,685.86,255312
2020-07-07 10:10:00,686.15,217496
2020-07-07 10:11:00,686.25,243150
2020-07-07 10:12:00,686.22,193856
2020-07-07 10:13:00,685.74,233252
2020-07-07 10:14:00,685.15,251797
2020-07-07 10:15:00,684.78,202516
2020-07-07 10:16:00,684.62,202557
2020-07-07 10:17:00,684.57,200120
2020-07-07 10:18:00,684.22,218797
2020-07-07 10:19:00,683.95,199324
2020-07-07 10:20:00,683.92,168222
2020-07-07 10:21:00,684.17,137477
2020-07-07 10:22:00,684.27,166504
2020-07-07 10:23:00,684.4,182413
2020-07-07 10:24:00,683.91,211781
2020-07-07 10:25:00,683.71,232069
2020-07-07 10:26:00,683.41,224206
2020-07-07 10:27:00,683.32,196661
2020-07-07 10:28:00,682.95,253565
2020-07-07 10:29:00,682.51,241704
2020-07-07 10:30:00,682.24,255405
2020-07-07 10:31:00,681.78,246049
2020-07-07 10:32:00,681.53,266949
2020-07-07 10:33:00,681.33,254060
2020-07-07 10:34:00,680.89,244920
2020-07-07 10:35:00,680.66,276616
2020-07-07 10:36:00,680.95,219439
2020-07-07 10:37:00,681.39,177308
2020-07-07 10:38:00,681.72,174226
2020-07-07 10:39:00,682.12,155258
2020-07-07 10:40:00,682.21,136637
2020-07-07 10:41:00,682.59,138518
2020-07-07 10:42:00,682.57,125426
2020-07-07 10:43:00,682.41,140434
2020-07-07 10:44:00,682.27,116712
2020-07-07 10:45:00,682.35,101063
2020-07-07 10:46:00,682.46,114684
2020-07-07 10:47:00,682.54,115164
2020-07-07 10:48:00,682.71,104177
2020-07-07 10:49:00,682.34,96264
2020-07-07 10:50:00,682.27,128531
2020-07-07 10:51:00,682.13,112820
2020-07-07 10:52:00,682.07,119833
2020-07-07 10:53:00,682.01,113352
2020-07-07 10:54:00,682.21,118182
2020-07-07 10:55:00,682.22,102323
2020-07-07 10:56:00,682.45,99279
2020-07-07 10:57:00,682.35,85900
2020-07-07 10:58:00,682.3,111229
2020-07-07 10:59:00,682.51,111993
2020-07-07 11:00:00,682.82,116114
2020-07-07 11:01:00,683.26,119746
2020-07-07 11:02:00,683.68,120143
2020-07-07 11:03:00,683.96,119238
2020-07-07 11:04:00,683.99,120118
2020-07-07 11:05:00,683.95,97017
2020-07-07 11:06:00,684.08,97552
2020-07-07 11:07:00,684.01,91944
2020-07-07 11:08:00,684.27,74770
2020-07-07 11:09:00,684.26,127810
2020-07-07 11:10:00,684.45,115003
2020-07-07 11:11:00,684.57,163503
