time,price,volume
2020-07-07 09:30:00,766.49,72874
2020-07-07 09:31:00,767.87,239827
2020-07-07 09:32:00,767.98,146165
2020-07-07 09:33:00,768.5,113107
2020-07-07 09:34:00,769.24,103738
2020-07-07 09:35:00,767.8,145017
2020-07-07 09:36:00,766.64,116999
2020-07-07 09:37:00,767.54,118398
2020-07-07 09:38:00,768.12,100504
2020-07-07 09:39:00,767.59,91087
2020-07-07 09:40:00,767.9,80634
2020-07-07 09:41:00,767.82,98271
2020-07-07 09:42:00,766.69,145609
2020-07-07 09:43:00,765.0,125099
2020-07-07 09:44:00,762.93,106286
2020-07-07 09:45:00,760.23,133875
2020-07-07 09:46:00,759.67,108026
2020-07-07 09:47:00,760.43,74017
2020-07-07 09:48:00,761.9,70150
2020-07-07 09:49:00,762.99,51853
2020-07-07 09:50:00,763.1,47864
2020-07-07 09:51:00,762.67,53580
2020-07-07 09:52:00,762.62,45625
2020-07-07 09:53:00,763.14,59592
2020-07-07 09:54:00,763.56,40912
2020-07-07 09:55:00,763.72,59371
2020-07-07 09:56:00,763.91,59617
2020-07-07 09:57:00,765.63,99377
2020-07-07 09:58:00,767.9,95335
2020-07-07 09:59:00,767.68,67780
2020-07-07 10:00:00,768.52,60489
2020-07-07 10:01:00,768.59,83966
2020-07-07 10:02:00,768.83,55354
2020-07-07 10:03:00,769.85,61062
2020-07-07 10:04:00,770.85,59322
2020-07-07 10:05:00,771.42,64555
2020-07-07 10:06:00,771.33,52285
2020-07-07 10:07:00,771.84,45021
2020-07-07 10:08:00,771.4,55243
2020-07-07 10:09:00,771.94,51935
2020-07-07 10:10:00,772.15,44101
2020-07-07 10:11:00,772.2,62176
2020-07-07 10:12:00,772.35,42911
2020-07-07 10:13:00,772.59,37093
2020-07-07 10:14:00,772.41,50322
2020-07-07 10:15:00,771.82,45266
2020-07-07 10:16:00,771.85,35230
2020-07-07 10:17:00,771.74,34513
2020-07-07 10:18:00,771.94,36809
2020-07-07 10:19:00,771.39,28854
2020-07-07 10:20:00,771.35,31088
2020-07-07 10:21:00,772.42,149697
2020-07-07 10:22:00,773.3,130920
2020-07-07 10:23:00,773.53,94366
2020-07-07 10:24:00,773.48,65462
2020-07-07 10:25:00,773.28,50013
2020-07-07 10:26:00,773.19,54546
2020-07-07 10:27:00,773.11,75896
2020-07-07 10:28:00,772.83,40340
2020-07-07 10:29:00,772.61,44417
2020-07-07 10:30:00,772.21,33071
2020-07-07 10:31:00,770.67,43868
2020-07-07 10:32:00,770.32,34119
2020-07-07 10:33:00,770.47,36197
2020-07-07 10:34:00,769.74,41502
2020-07-07 10:35:00,769.6,31987
2020-07-07 10:36:00,769.51,29546
2020-07-07 10:37:00,770.18,30541
2020-07-07 10:38:00,770.87,20277
2020-07-07 10:39:00,770.75,21751
2020-07-07 10:40:00,771.18,18988
2020-07-07 10:41:00,771.66,17548
2020-07-07 10:42:00,772.04,22263
2020-07-07 10:43:00,771.23,22751
2020-07-07 10:44:00,771.02,30431
2020-07-07 10:45:00,771.36,20659
2020-07-07 10:46:00,771.43,16345
2020-07-07 10:47:00,770.99,15562
2020-07-07 10:48:00,771.29,17573
2020-07-07 10:49:00,770.81,20311
2020-07-07 10:50:00,770.68,16804
2020-07-07 10:51:00,770.81,18592
2020-07-07 10:52:00,770.56,24123
2020-07-07 10:53:00,770.77,28199
2020-07-07 10:54:00,770.95,30663
2020-07-07 10:55:00,771.58,26669
2020-07-07 10:56:00,771.93,22509
2020-07-07 10:57:00,771.69,21321
2020-07-07 10:58:00,771.62,17679
2020-07-07 10:59:00,772.07,19950
2020-07-07 11:00:00,772.63,24880
2020-07-07 11:01:00,773.43,43544
2020-07-07 11:02:00,774.44,31546
2020-07-07 11:03:00,774.14,26768
2020-07-07 11:04:00,774.0,25936
2020-07-07 11:05:00,774.07,17904
2020-07-07 11:06:00,774.19,17273
2020-07-07 11:07:00,774.08,17153
2020-07-07 11:08:00,774.51,20808
2020-07-07 11:09:00,774.64,19250
2020-07-07 11:10:00,774.78,17342
2020-07-07 11:11:00,774.94,17030
2020-07-07 11:12:00,775.52,18548
2020-07-07 11:13:00,775.56,18436
2020-07-07 11:14:00,776.15,16070
2020-07-07 11:15:00,776.74,22918
2020-07-07 11:16:00,776.87,18160
2020-07-07 11:17:00,776.96,23106
