time,price,volume
2020-07-07 09:30:00,803.14,181372
2020-07-07 09:31:00,807.33,443798
2020-07-07 09:32:00,807.58,251975
2020-07-07 09:33:00,806.84,233199
2020-07-07 09:34:00,806.09,232480
2020-07-07 09:35:00,804.83,216357
2020-07-07 09:36:00,804.24,199567
2020-07-07 09:37:00,803.56,180874
2020-07-07 09:38:00,803.95,144779
2020-07-07 09:39:00,803.62,177101
2020-07-07 09:40:00,803.59,154465
2020-07-07 09:41:00,802.58,175063
2020-07-07 09:42:00,800.74,156880
2020-07-07 09:43:00,798.17,243837
2020-07-07 09:44:00,794.89,161051
2020-07-07 09:45:00,792.14,232262
2020-07-07 09:46:00,791.05,199895
2020-07-07 09:47:00,792.73,140409
2020-07-07 09:48:00,794.35,159457
2020-07-07 09:49:00,795.26,108907
2020-07-07 09:50:00,796.05,99991
2020-07-07 09:51:00,796.9,92635
2020-07-07 09:52:00,796.79,129460
2020-07-07 09:53:00,797.09,190992
2020-07-07 09:54:00,797.2,162769
2020-07-07 09:55:00,797.45,137374
2020-07-07 09:56:00,797.54,151111
2020-07-07 09:57:00,797.71,121113
2020-07-07 09:58:00,798.87,123942
2020-07-07 09:59:00,799.35,105170
2020-07-07 10:00:00,799.94,82111
2020-07-07 10:01:00,799.42,92148
2020-07-07 10:02:00,799.8,68129
2020-07-07 10:03:00,800.72,68912
2020-07-07 10:04:00,800.99,75009
2020-07-07 10:05:00,802.15,74931
2020-07-07 10:06:00,802.91,71201
2020-07-07 10:07:00,802.8,60544
2020-07-07 10:08:00,803.27,70649
2020-07-07 10:09:00,803.14,57580
2020-07-07 10:10:00,803.91,68685
2020-07-07 10:11:00,803.99,60322
2020-07-07 10:12:00,803.99,68663
2020-07-07 10:13:00,803.61,81740
2020-07-07 10:14:00,803.28,92089
2020-07-07 10:15:00,803.03,53570
2020-07-07 10:16:00,803.1,40301
2020-07-07 10:17:00,803.02,40729
2020-07-07 10:18:00,802.74,47437
2020-07-07 10:19:00,802.19,58088
2020-07-07 10:20:00,803.12,72596
2020-07-07 10:21:00,803.71,55049
2020-07-07 10:22:00,803.98,80481
2020-07-07 10:23:00,804.51,50363
2020-07-07 10:24:00,804.81,117343
2020-07-07 10:25:00,805.15,86801
2020-07-07 10:26:00,804.68,54332
2020-07-07 10:27:00,804.45,88410
2020-07-07 10:28:00,804.44,55420
2020-07-07 10:29:00,804.18,61141
2020-07-07 10:30:00,803.47,63263
2020-07-07 10:31:00,802.31,54181
2020-07-07 10:32:00,801.59,54447
2020-07-07 10:33:00,801.4,68573
2020-07-07 10:34:00,801.1,75758
2020-07-07 10:35:00,801.09,70518
2020-07-07 10:36:00,801.05,66222
2020-07-07 10:37:00,801.55,45738
2020-07-07 10:38:00,801.76,48338
2020-07-07 10:39:00,802.49,52951
2020-07-07 10:40:00,802.66,34132
2020-07-07 10:41:00,803.2,33520
2020-07-07 10:42:00,803.19,92208
2020-07-07 10:43:00,803.81,95487
2020-07-07 10:44:00,804.27,92276
2020-07-07 10:45:00,804.32,74316
2020-07-07 10:46:00,804.47,54726
2020-07-07 10:47:00,804.58,57343
2020-07-07 10:48:00,804.61,50318
2020-07-07 10:49:00,804.4,43478
2020-07-07 10:50:00,804.03,36815
