time,price,volume
2020-07-07 09:30:00,650.74,143684
2020-07-07 09:31:00,652.09,305001
2020-07-07 09:32:00,650.99,199354
2020-07-07 09:33:00,651.67,171175
2020-07-07 09:34:00,651.64,159598
2020-07-07 09:35:00,650.14,171003
2020-07-07 09:36:00,648.93,150517
2020-07-07 09:37:00,647.57,139336
2020-07-07 09:38:00,647.68,139680
2020-07-07 09:39:00,647.56,121326
2020-07-07 09:40:00,647.53,120329
2020-07-07 09:41:00,646.78,113109
2020-07-07 09:42:00,644.97,132855
2020-07-07 09:43:00,643.3,174312
2020-07-07 09:44:00,641.49,171079
2020-07-07 09:45:00,638.88,173763
2020-07-07 09:46:00,638.26,161751
2020-07-07 09:47:00,639.94,138542
2020-07-07 09:48:00,641.81,89193
2020-07-07 09:49:00,642.88,82620
2020-07-07 09:50:00,643.24,76631
2020-07-07 09:51:00,643.66,70848
2020-07-07 09:52:00,644.25,97785
2020-07-07 09:53:00,644.58,82836
2020-07-07 09:54:00,644.49,70762
2020-07-07 09:55:00,644.9,54380
2020-07-07 09:56:00,645.94,78297
2020-07-07 09:57:00,646.08,75302
2020-07-07 09:58:00,646.53,54847
2020-07-07 09:59:00,646.52,53531
2020-07-07 10:00:00,646.51,57816
2020-07-07 10:01:00,646.4,56191
2020-07-07 10:02:00,646.14,48271
2020-07-07 10:03:00,646.79,61559
2020-07-07 10:04:00,647.4,51412
2020-07-07 10:05:00,647.81,51001
2020-07-07 10:06:00,648.16,45924
2020-07-07 10:07:00,648.3,66952
2020-07-07 10:08:00,648.84,58671
2020-07-07 10:09:00,649.44,56904
2020-07-07 10:10:00,649.67,50526
2020-07-07 10:11:00,649.89,81218
2020-07-07 10:12:00,650.12,46383
2020-07-07 10:13:00,649.65,48048
2020-07-07 10:14:00,649.58,60327
2020-07-07 10:15:00,649.89,61813
2020-07-07 10:16:00,649.97,72935
2020-07-07 10:17:00,649.8,39486
2020-07-07 10:18:00,649.65,44507
2020-07-07 10:19:00,649.78,59446
2020-07-07 10:20:00,649.99,57802
2020-07-07 10:21:00,650.04,60901
2020-07-07 10:22:00,650.06,52464
2020-07-07 10:23:00,650.43,82924
2020-07-07 10:24:00,649.88,76984
2020-07-07 10:25:00,650.0,56464
2020-07-07 10:26:00,650.23,60223
2020-07-07 10:27:00,650.14,55932
2020-07-07 10:28:00,649.72,50118
2020-07-07 10:29:00,649.25,51628
