time,price,volume
2020-07-07 09:30:00,583.0,252356
2020-07-07 09:31:00,584.63,677064
2020-07-07 09:32:00,585.81,376151
2020-07-07 09:33:00,585.55,365589
2020-07-07 09:34:00,584.65,304510
2020-07-07 09:35:00,583.86,309123
2020-07-07 09:36:00,583.16,308978
2020-07-07 09:37:00,582.79,268535
2020-07-07 09:38:00,582.73,242745
2020-07-07 09:39:00,582.39,201938
2020-07-07 09:40:00,581.95,218166
2020-07-07 09:41:00,581.19,230679
2020-07-07 09:42:00,579.42,287068
2020-07-07 09:43:00,577.35,315260
2020-07-07 09:44:00,575.39,321818
2020-07-07 09:45:00,573.47,353154
2020-07-07 09:46:00,573.36,274716
2020-07-07 09:47:00,573.99,245423
2020-07-07 09:48:00,575.74,176590
2020-07-07 09:49:00,576.75,166626
2020-07-07 09:50:00,577.27,152094
2020-07-07 09:51:00,576.87,137891
2020-07-07 09:52:00,576.72,139949
2020-07-07 09:53:00,576.52,142519
2020-07-07 09:54:00,576.31,135124
2020-07-07 09:55:00,576.15,114281
2020-07-07 09:56:00,576.27,101451
2020-07-07 09:57:00,576.63,121433
2020-07-07 09:58:00,577.05,123622
2020-07-07 09:59:00,577.14,111012
2020-07-07 10:00:00,577.42,104010
2020-07-07 10:01:00,577.58,144652
2020-07-07 10:02:00,577.88,168129
2020-07-07 10:03:00,578.44,143471
2020-07-07 10:04:00,578.96,144434
2020-07-07 10:05:00,579.06,137320
2020-07-07 10:06:00,579.6,117426
2020-07-07 10:07:00,579.74,94968
2020-07-07 10:08:00,579.94,113335
2020-07-07 10:09:00,580.27,119155
2020-07-07 10:10:00,580.72,121215
2020-07-07 10:11:00,580.63,105955
2020-07-07 10:12:00,580.68,99271
2020-07-07 10:13:00,580.27,86447
2020-07-07 10:14:00,580.1,100644
2020-07-07 10:15:00,579.68,84339
2020-07-07 10:16:00,579.64,67049
2020-07-07 10:17:00,579.41,76927
2020-07-07 10:18:00,579.32,83600
2020-07-07 10:19:00,579.33,67358
2020-07-07 10:20:00,579.46,85784
2020-07-07 10:21:00,579.69,91496
2020-07-07 10:22:00,579.81,97085
2020-07-07 10:23:00,579.98,105697
2020-07-07 10:24:00,579.41,103631
2020-07-07 10:25:00,579.19,95584
2020-07-07 10:26:00,579.32,79799
2020-07-07 10:27:00,579.06,68458
2020-07-07 10:28:00,578.98,84376
2020-07-07 10:29:00,578.49,71570
2020-07-07 10:30:00,578.32,97694
2020-07-07 10:31:00,577.57,113133
2020-07-07 10:32:00,577.33,97687
2020-07-07 10:33:00,577.16,93752
2020-07-07 10:34:00,576.73,93088
2020-07-07 10:35:00,576.54,86165
