time,price,volume
2020-07-07 09:30:00,676.1,372183
2020-07-07 09:31:00,678.34,748487
2020-07-07 09:32:00,677.57,440765
2020-07-07 09:33:00,677.95,318090
2020-07-07 09:34:00,677.13,293317
2020-07-07 09:35:00,675.59,299948
2020-07-07 09:36:00,674.86,262333
2020-07-07 09:37:00,674.88,273256
2020-07-07 09:38:00,675.45,224529
2020-07-07 09:39:00,675.42,208995
2020-07-07 09:40:00,675.83,221257
2020-07-07 09:41:00,675.46,266600
2020-07-07 09:42:00,674.03,291986
2020-07-07 09:43:00,672.66,325209
2020-07-07 09:44:00,670.43,287250
2020-07-07 09:45:00,668.45,318217
2020-07-07 09:46:00,666.73,291333
2020-07-07 09:47:00,667.98,289233
2020-07-07 09:48:00,670.24,176736
2020-07-07 09:49:00,671.21,164283
2020-07-07 09:50:00,671.76,146438
2020-07-07 09:51:00,672.37,152595
2020-07-07 09:52:00,672.27,151552
2020-07-07 09:53:00,672.36,171428
2020-07-07 09:54:00,672.41,125564
2020-07-07 09:55:00,672.58,108627
2020-07-07 09:56:00,673.02,148733
2020-07-07 09:57:00,673.13,118489
2020-07-07 09:58:00,673.87,118143
2020-07-07 09:59:00,674.19,107786
2020-07-07 10:00:00,674.82,110216
2020-07-07 10:01:00,674.7,144705
2020-07-07 10:02:00,675.31,106024
2020-07-07 10:03:00,676.74,140846
2020-07-07 10:04:00,676.82,129743
2020-07-07 10:05:00,677.26,203815
2020-07-07 10:06:00,677.97,135896
2020-07-07 10:07:00,677.75,107027
2020-07-07 10:08:00,677.53,92258
2020-07-07 10:09:00,678.0,96732
2020-07-07 10:10:00,678.36,89122
2020-07-07 10:11:00,678.79,100833
2020-07-07 10:12:00,679.13,96065
2020-07-07 10:13:00,679.25,110499
2020-07-07 10:14:00,678.89,103491
2020-07-07 10:15:00,678.48,102222
2020-07-07 10:16:00,678.37,104397
2020-07-07 10:17:00,678.5,114168
2020-07-07 10:18:00,678.41,85304
2020-07-07 10:19:00,678.42,86472
2020-07-07 10:20:00,678.56,89302
2020-07-07 10:21:00,679.31,88154
2020-07-07 10:22:00,679.65,92315
2020-07-07 10:23:00,679.79,103607
2020-07-07 10:24:00,679.7,124851
2020-07-07 10:25:00,679.38,96200
2020-07-07 10:26:00,679.1,91673
2020-07-07 10:27:00,679.12,85875
2020-07-07 10:28:00,678.91,71125
2020-07-07 10:29:00,678.27,63281
2020-07-07 10:30:00,677.92,93147
2020-07-07 10:31:00,676.91,97367
2020-07-07 10:32:00,676.25,102970
2020-07-07 10:33:00,676.31,94273
2020-07-07 10:34:00,675.96,95697
2020-07-07 10:35:00,675.79,86368
2020-07-07 10:36:00,676.07,82550
2020-07-07 10:37:00,676.79,63597
2020-07-07 10:38:00,677.5,62102
2020-07-07 10:39:00,677.99,51921
2020-07-07 10:40:00,677.92,50017
2020-07-07 10:41:00,678.36,60398
2020-07-07 10:42:00,678.41,52462
2020-07-07 10:43:00,678.29,58350
2020-07-07 10:44:00,678.37,45314
2020-07-07 10:45:00,678.48,49261
2020-07-07 10:46:00,678.34,50088
2020-07-07 10:47:00,678.38,60470
2020-07-07 10:48:00,678.55,59212
2020-07-07 10:49:00,678.48,63026
2020-07-07 10:50:00,678.77,58177
2020-07-07 10:51:00,678.61,56753
2020-07-07 10:52:00,678.61,60957
2020-07-07 10:53:00,678.77,53509
2020-07-07 10:54:00,678.94,67419
2020-07-07 10:55:00,679.05,53700
2020-07-07 10:56:00,679.27,51111
2020-07-07 10:57:00,679.38,44279
2020-07-07 10:58:00,679.47,44795
2020-07-07 10:59:00,679.73,52198
2020-07-07 11:00:00,680.3,49595
2020-07-07 11:01:00,680.66,58302
2020-07-07 11:02:00,681.14,55928
2020-07-07 11:03:00,681.25,49812
2020-07-07 11:04:00,680.96,50158
2020-07-07 11:05:00,680.76,42357
2020-07-07 11:06:00,680.84,43426
2020-07-07 11:07:00,680.91,35917
2020-07-07 11:08:00,680.99,36447
2020-07-07 11:09:00,681.05,37930
2020-07-07 11:10:00,681.23,35313
2020-07-07 11:11:00,681.46,50236
2020-07-07 11:12:00,681.94,51442
2020-07-07 11:13:00,682.28,58520
2020-07-07 11:14:00,682.32,52409
2020-07-07 11:15:00,682.11,37251
2020-07-07 11:16:00,682.53,54214
2020-07-07 11:17:00,682.87,60967
2020-07-07 11:18:00,682.84,71930
2020-07-07 11:19:00,682.79,50495
2020-07-07 11:20:00,682.77,47672
2020-07-07 11:21:00,682.52,58016
2020-07-07 11:22:00,683.02,41303
2020-07-07 11:23:00,682.66,33402
2020-07-07 11:24:00,682.67,50607
2020-07-07 11:25:00,682.6,29422
2020-07-07 11:26:00,682.73,38548
2020-07-07 11:27:00,682.85,41339
2020-07-07 11:28:00,683.27,41809
2020-07-07 11:29:00,683.56,34015
2020-07-07 11:30:00,683.62,42471
2020-07-07 13:01:00,684.73,158835
2020-07-07 13:02:00,684.84,52766
2020-07-07 13:03:00,684.77,56693
2020-07-07 13:04:00,685.04,47214
2020-07-07 13:05:00,685.18,86807
2020-07-07 13:06:00,685.68,60769
2020-07-07 13:07:00,685.57,51358
2020-07-07 13:08:00,685.67,66528
2020-07-07 13:09:00,686.15,82054
2020-07-07 13:10:00,686.35,66002
2020-07-07 13:11:00,686.58,78794
2020-07-07 13:12:00,686.78,72063
2020-07-07 13:13:00,686.98,58887
2020-07-07 13:14:00,686.76,61123
2020-07-07 13:15:00,686.83,58328
2020-07-07 13:16:00,686.81,75258
2020-07-07 13:17:00,686.81,61012
2020-07-07 13:18:00,686.43,58992
2020-07-07 13:19:00,686.14,64567
2020-07-07 13:20:00,685.97,57922
2020-07-07 13:21:00,685.98,58303
2020-07-07 13:22:00,685.89,52230
2020-07-07 13:23:00,685.78,62976
2020-07-07 13:24:00,685.65,56379
2020-07-07 13:25:00,685.74,51511
2020-07-07 13:26:00,685.84,45263
2020-07-07 13:27:00,685.85,67016
2020-07-07 13:28:00,685.99,73305
2020-07-07 13:29:00,686.03,72335
2020-07-07 13:30:00,685.59,76745
